consumer_id,model,score,score_date,reason_text
C0001,FICO8,572,2025-10-05,Delinquencies in past 24 months
C0001,VantageScore4,663,2025-10-05,Low utilization; long history
C0002,FICO8,546,2025-10-05,Collections and recent delinquencies
C0002,VantageScore4,729,2025-10-05,Recent inquiry; utilization moderate
C0003,FICO8,690,2025-10-05,Collections and recent delinquencies
C0003,VantageScore4,503,2025-10-05,Recent inquiry; utilization moderate
C0004,FICO8,613,2025-10-05,Short history; high utilization
C0004,VantageScore4,486,2025-10-05,Recent delinquency; new account
C0005,FICO8,653,2025-10-05,Recent inquiry; utilization moderate
C0005,VantageScore4,701,2025-10-05,Recent delinquency; new account
C0006,FICO8,726,2025-10-05,Short history; high utilization
C0006,VantageScore4,677,2025-10-05,High utilization; short history
C0007,FICO8,765,2025-10-05,Low utilization; long history
C0007,VantageScore4,485,2025-10-05,High utilization; short history
C0008,FICO8,738,2025-10-05,Collections and recent delinquencies
C0008,VantageScore4,733,2025-10-05,High utilization; short history
C0009,FICO8,518,2025-10-05,Collections and recent delinquencies
C0009,VantageScore4,644,2025-10-05,Recent delinquency; new account
C0010,FICO8,649,2025-10-05,Multiple inquiries; elevated balances
C0010,VantageScore4,505,2025-10-05,Recent delinquency; new account
C0011,FICO8,761,2025-10-05,Delinquencies in past 24 months
C0011,VantageScore4,686,2025-10-05,Recent delinquency; new account
C0012,FICO8,520,2025-10-05,Collections and recent delinquencies
C0012,VantageScore4,707,2025-10-05,Collections and recent delinquencies
C0013,FICO8,525,2025-10-05,Collections and recent delinquencies
C0013,VantageScore4,708,2025-10-05,Short history; high utilization
C0014,FICO8,540,2025-10-05,Collections and recent delinquencies
C0014,VantageScore4,489,2025-10-05,Recent inquiry; utilization moderate
C0015,FICO8,686,2025-10-05,Delinquencies in past 24 months
C0015,VantageScore4,498,2025-10-05,Low utilization; long history
C0016,FICO8,526,2025-10-05,Multiple inquiries; elevated balances
C0016,VantageScore4,740,2025-10-05,Recent delinquency; new account
C0017,FICO8,713,2025-10-05,Short history; high utilization
C0017,VantageScore4,666,2025-10-05,Low utilization; long history
C0018,FICO8,594,2025-10-05,Collections and recent delinquencies
C0018,VantageScore4,649,2025-10-05,Collections and recent delinquencies
C0019,FICO8,666,2025-10-05,Collections and recent delinquencies
C0019,VantageScore4,538,2025-10-05,Recent inquiry; utilization moderate
C0020,FICO8,593,2025-10-05,Low utilization; long history
C0020,VantageScore4,654,2025-10-05,Short history; high utilization
C0021,FICO8,629,2025-10-05,Short history; high utilization
C0021,VantageScore4,534,2025-10-05,Low utilization; long history
C0022,FICO8,564,2025-10-05,Collections and recent delinquencies
C0022,VantageScore4,551,2025-10-05,Delinquencies in past 24 months
C0023,FICO8,534,2025-10-05,Multiple inquiries; elevated balances
C0023,VantageScore4,792,2025-10-05,Recent delinquency; new account
C0024,FICO8,576,2025-10-05,Recent inquiry; utilization moderate
C0024,VantageScore4,681,2025-10-05,Recent delinquency; new account
C0025,FICO8,714,2025-10-05,Recent delinquency; new account
C0025,VantageScore4,653,2025-10-05,Recent inquiry; utilization moderate
C0026,FICO8,692,2025-10-05,Low utilization; long history
C0026,VantageScore4,781,2025-10-05,Recent inquiry; utilization moderate
C0027,FICO8,710,2025-10-05,Collections and recent delinquencies
C0027,VantageScore4,781,2025-10-05,High utilization; short history
C0028,FICO8,735,2025-10-05,Low utilization; long history
C0028,VantageScore4,751,2025-10-05,Low utilization; long history
C0029,FICO8,763,2025-10-05,Delinquencies in past 24 months
C0029,VantageScore4,779,2025-10-05,Collections and recent delinquencies
C0030,FICO8,740,2025-10-05,High utilization; short history
C0030,VantageScore4,776,2025-10-05,High utilization; short history
C0031,FICO8,545,2025-10-05,Recent inquiry; utilization moderate
C0031,VantageScore4,678,2025-10-05,Short history; high utilization
C0032,FICO8,738,2025-10-05,Delinquencies in past 24 months
C0032,VantageScore4,694,2025-10-05,Recent delinquency; new account
C0033,FICO8,620,2025-10-05,Delinquencies in past 24 months
C0033,VantageScore4,655,2025-10-05,Multiple inquiries; elevated balances
C0034,FICO8,711,2025-10-05,High utilization; short history
C0034,VantageScore4,550,2025-10-05,Delinquencies in past 24 months
C0035,FICO8,788,2025-10-05,Multiple inquiries; elevated balances
C0035,VantageScore4,760,2025-10-05,Short history; high utilization
C0036,FICO8,763,2025-10-05,Recent delinquency; new account
C0036,VantageScore4,582,2025-10-05,Recent delinquency; new account
C0037,FICO8,799,2025-10-05,Multiple inquiries; elevated balances
C0037,VantageScore4,656,2025-10-05,High utilization; short history
C0038,FICO8,571,2025-10-05,Short history; high utilization
C0038,VantageScore4,539,2025-10-05,Short history; high utilization
C0039,FICO8,767,2025-10-05,Collections and recent delinquencies
C0039,VantageScore4,778,2025-10-05,Delinquencies in past 24 months
C0040,FICO8,753,2025-10-05,Multiple inquiries; elevated balances
C0040,VantageScore4,696,2025-10-05,Low utilization; long history
C0041,FICO8,747,2025-10-05,Recent inquiry; utilization moderate
C0041,VantageScore4,492,2025-10-05,Delinquencies in past 24 months
C0042,FICO8,554,2025-10-05,Low utilization; long history
C0042,VantageScore4,508,2025-10-05,Recent delinquency; new account
C0043,FICO8,616,2025-10-05,High utilization; short history
C0043,VantageScore4,626,2025-10-05,Multiple inquiries; elevated balances
C0044,FICO8,554,2025-10-05,Low utilization; long history
C0044,VantageScore4,631,2025-10-05,Recent delinquency; new account
C0045,FICO8,757,2025-10-05,Low utilization; long history
C0045,VantageScore4,663,2025-10-05,Collections and recent delinquencies
C0046,FICO8,532,2025-10-05,Recent delinquency; new account
C0046,VantageScore4,767,2025-10-05,Delinquencies in past 24 months
C0047,FICO8,601,2025-10-05,Multiple inquiries; elevated balances
C0047,VantageScore4,504,2025-10-05,Delinquencies in past 24 months
C0048,FICO8,678,2025-10-05,Delinquencies in past 24 months
C0048,VantageScore4,640,2025-10-05,Low utilization; long history
C0049,FICO8,486,2025-10-05,Multiple inquiries; elevated balances
C0049,VantageScore4,583,2025-10-05,Collections and recent delinquencies
C0050,FICO8,595,2025-10-05,Short history; high utilization
C0050,VantageScore4,781,2025-10-05,Recent delinquency; new account
C0051,FICO8,579,2025-10-05,Multiple inquiries; elevated balances
C0051,VantageScore4,709,2025-10-05,High utilization; short history
C0052,FICO8,518,2025-10-05,High utilization; short history
C0052,VantageScore4,568,2025-10-05,Recent inquiry; utilization moderate
C0053,FICO8,673,2025-10-05,Low utilization; long history
C0053,VantageScore4,699,2025-10-05,Multiple inquiries; elevated balances
C0054,FICO8,764,2025-10-05,Multiple inquiries; elevated balances
C0054,VantageScore4,546,2025-10-05,High utilization; short history
C0055,FICO8,779,2025-10-05,Multiple inquiries; elevated balances
C0055,VantageScore4,482,2025-10-05,Short history; high utilization
C0056,FICO8,718,2025-10-05,High utilization; short history
C0056,VantageScore4,500,2025-10-05,High utilization; short history
C0057,FICO8,645,2025-10-05,Low utilization; long history
C0057,VantageScore4,800,2025-10-05,Multiple inquiries; elevated balances
C0058,FICO8,731,2025-10-05,Short history; high utilization
C0058,VantageScore4,517,2025-10-05,Short history; high utilization
C0059,FICO8,749,2025-10-05,Recent delinquency; new account
C0059,VantageScore4,574,2025-10-05,Recent inquiry; utilization moderate
C0060,FICO8,738,2025-10-05,High utilization; short history
C0060,VantageScore4,692,2025-10-05,Delinquencies in past 24 months
C0061,FICO8,527,2025-10-05,Short history; high utilization
C0061,VantageScore4,593,2025-10-05,Recent delinquency; new account
C0062,FICO8,649,2025-10-05,Short history; high utilization
C0062,VantageScore4,664,2025-10-05,Multiple inquiries; elevated balances
C0063,FICO8,591,2025-10-05,Collections and recent delinquencies
C0063,VantageScore4,767,2025-10-05,Low utilization; long history
C0064,FICO8,538,2025-10-05,Short history; high utilization
C0064,VantageScore4,708,2025-10-05,Recent delinquency; new account
C0065,FICO8,794,2025-10-05,Recent delinquency; new account
C0065,VantageScore4,500,2025-10-05,Short history; high utilization
C0066,FICO8,675,2025-10-05,Recent inquiry; utilization moderate
C0066,VantageScore4,677,2025-10-05,Multiple inquiries; elevated balances
C0067,FICO8,756,2025-10-05,Multiple inquiries; elevated balances
C0067,VantageScore4,492,2025-10-05,Short history; high utilization
C0068,FICO8,743,2025-10-05,Collections and recent delinquencies
