consumer_id,tradeline_id,subscriber_name,subscriber_code,account_type,opened,closed,credit_limit,high_credit,balance,past_due,payment_status,terms,months_reviewed
C0001,T00001,Bank_115,SUB62709,installment,2016-10-07,,0,22000,2991.38,500,current,R,108
C0001,T00002,Bank_323,SUB63883,revolving,2020-01-13,2022-01-12,30000,30000,24074.44,500,current,R,69
C0001,T00003,Bank_275,SUB43022,revolving,2019-10-16,,30000,30000,16042.03,0,current,R,72
C0001,T00004,Bank_440,SUB32980,mortgage,2013-10-11,,0,450000,301853.03,0,current,R,144
C0002,T00005,Bank_821,SUB11742,mortgage,2020-11-16,2021-11-16,0,450000,174184.44,250,current,R,59
C0002,T00006,Bank_483,SUB75369,installment,2017-01-20,2018-01-20,0,12000,8740.76,100,current,R,105
C0002,T00007,Bank_436,SUB27598,revolving,2019-04-05,2020-04-04,30000,30000,17824.57,0,current,R,78
C0002,T00008,Bank_850,SUB53420,mortgage,2018-06-21,2019-06-21,0,450000,288956.06,100,current,R,88
C0003,T00009,Bank_744,SUB10792,mortgage,2017-04-18,2019-04-18,0,250000,150935.17,500,current,R,102
C0003,T00010,Bank_277,SUB87677,revolving,2012-08-03,,30000,30000,29169.96,0,current,R,158
C0003,T00011,Bank_410,SUB47401,installment,2016-04-17,2020-04-16,0,12000,8553.68,250,current,R,114
C0004,T00012,Bank_724,SUB66810,revolving,2024-11-07,2028-11-06,5000,5000,2011.57,750,current,R,11
C0004,T00013,Bank_574,SUB50088,revolving,2014-08-01,2018-07-31,5000,5000,2956.88,250,current,R,134
C0004,T00014,Bank_104,SUB11682,revolving,2024-05-13,2028-05-12,5000,5000,755.95,250,30_days_late,R,17
C0004,T00015,Bank_139,SUB26315,installment,2021-08-13,,0,18000,6996.17,100,current,R,50
C0005,T00016,Bank_766,SUB60506,mortgage,2015-04-25,2018-04-24,0,320000,162951.69,500,current,R,126
C0005,T00017,Bank_797,SUB29315,installment,2023-12-08,2024-12-07,0,8000,5516.58,500,current,R,22
C0005,T00018,Bank_700,SUB20531,revolving,2018-04-20,2020-04-19,1000,1000,760.13,750,current,R,90
C0006,T00019,Bank_851,SUB63950,mortgage,2016-07-06,2019-07-06,0,320000,160198.7,750,current,R,111
C0006,T00020,Bank_415,SUB10841,revolving,2012-02-21,2015-02-20,5000,5000,3693.9,0,current,R,164
C0006,T00021,Bank_290,SUB27607,mortgage,2015-08-01,2019-07-31,0,450000,291753.15,250,current,R,122
C0006,T00022,Bank_296,SUB43993,installment,2016-08-06,2017-08-06,0,12000,2378.55,250,current,R,110
C0007,T00023,Bank_699,SUB40773,revolving,2024-11-20,2026-11-20,5000,5000,511.39,100,current,R,11
C0007,T00024,Bank_634,SUB10951,revolving,2025-08-22,2026-08-22,5000,5000,3708.63,100,current,R,2
C0007,T00025,Bank_798,SUB54967,installment,2022-10-17,,0,22000,10434.66,750,current,R,36
C0008,T00026,Bank_815,SUB62665,revolving,2017-06-22,2022-06-21,5000,5000,4290.77,100,current,R,100
C0008,T00027,Bank_776,SUB34633,installment,2014-01-20,2019-01-19,0,12000,4484.31,750,current,R,141
C0008,T00028,Bank_727,SUB20665,revolving,2010-11-27,2013-11-26,30000,30000,9975.13,750,current,R,179
C0009,T00029,Bank_997,SUB84959,revolving,2023-08-22,,30000,30000,11683.93,250,current,R,26
C0009,T00030,Bank_653,SUB41575,mortgage,2011-03-16,2014-03-15,0,450000,81598.83,100,current,R,175
C0009,T00031,Bank_884,SUB46747,revolving,2017-04-06,2018-04-06,10000,10000,9736.27,500,30_days_late,R,102
C0010,T00032,Bank_603,SUB21854,mortgage,2018-11-16,,0,180000,118594.32,0,current,R,83
C0010,T00033,Bank_842,SUB60023,revolving,2020-04-19,2025-04-18,30000,30000,10484.9,0,current,R,66
C0011,T00034,Bank_218,SUB85083,revolving,2023-04-08,2026-04-07,1000,1000,105.57,250,current,R,30
C0011,T00035,Bank_533,SUB51896,mortgage,2021-03-28,2025-03-27,0,180000,57306.05,250,current,R,55
C0011,T00036,Bank_935,SUB48905,mortgage,2021-11-26,2026-11-25,0,250000,30580.62,750,current,R,47
